EmployeeLeave,StartDateLeave,EndDateLeave,date_work,WorkHours,TimeSheetTransactionID,Check_DATA
ABC11990,2021-06-01,2021-06-01,2021-06-01,1.7,ABC11990-P3C-244348,TRUE
ABC11990,2021-06-21,2021-06-21,2021-06-21,3,ABC11990-P2C-144368,TRUE
ABC11990,2021-06-21,2021-06-21,2021-06-21,2.8,ABC11990-P2C-244368,TRUE
ABC11990,2021-06-21,2021-06-21,2021-06-21,0.9,ABC11990-P3C-144368,TRUE
ABC11990,2021-06-21,2021-06-21,2021-06-21,3.2,ABC11990-P3C-244368,TRUE
ABC11990,2021-06-23,2021-06-23,2021-06-23,2.2,ABC11990-P2C-144370,TRUE
ABC11990,2021-06-23,2021-06-23,2021-06-23,0.9,ABC11990-P2C-244370,TRUE
ABC11990,2021-06-23,2021-06-23,2021-06-23,1.4,ABC11990-P3C-144370,TRUE
ABC11990,2021-06-23,2021-06-23,2021-06-23,1.7,ABC11990-P3C-244370,TRUE
ABC11990,2021-06-25,2021-06-25,2021-06-25,3.1,ABC11990-P2C-144372,TRUE
ABC11990,2021-06-25,2021-06-25,2021-06-25,1.5,ABC11990-P2C-244372,TRUE
ABC11990,2021-06-25,2021-06-25,2021-06-25,2.6,ABC11990-P3C-144372,TRUE
ABC11990,2021-06-25,2021-06-25,2021-06-25,0.7,ABC11990-P3C-244372,TRUE
ABC11990,2021-07-12,2021-07-12,2021-07-12,2.1,ABC11990-P2D-144389,TRUE
ABC11990,2021-07-12,2021-07-12,2021-07-12,1.3,ABC11990-P2D-244389,TRUE
ABC11990,2021-07-12,2021-07-12,2021-07-12,1.2,ABC11990-P3C-144389,TRUE
ABC11990,2021-07-12,2021-07-12,2021-07-12,2.4,ABC11990-P3C-244389,TRUE
ABC11990,2021-08-16,2021-08-16,2021-08-16,3.6,ABC11990-P2D-144424,TRUE
ABC11990,2021-08-16,2021-08-16,2021-08-16,2.5,ABC11990-P2D-244424,TRUE
ABC11990,2021-08-16,2021-08-16,2021-08-16,1.3,ABC11990-P3D-144424,TRUE
ABC11990,2021-08-16,2021-08-16,2021-08-16,1.2,ABC11990-P3D-244424,TRUE
ABC11990,2021-09-01,2021-09-01,2021-09-01,3.8,ABC11990-P2D-144440,TRUE
ABC11990,2021-09-01,2021-09-01,2021-09-01,1.8,ABC11990-P2D-244440,TRUE
ABC11990,2021-09-01,2021-09-01,2021-09-01,3.5,ABC11990-P3D-144440,TRUE
ABC11990,2021-09-01,2021-09-01,2021-09-01,3.5,ABC11990-P3D-244440,TRUE
ABC11990,2021-09-03,2021-09-03,2021-09-03,2.5,ABC11990-P2D-144442,TRUE
ABC11990,2021-09-03,2021-09-03,2021-09-03,2.5,ABC11990-P2D-244442,TRUE
ABC11990,2021-09-03,2021-09-03,2021-09-03,2.3,ABC11990-P3D-144442,TRUE
ABC11990,2021-09-03,2021-09-03,2021-09-03,1.1,ABC11990-P3D-244442,TRUE
ABC11990,2021-09-06,2021-09-06,2021-09-06,1.9,ABC11990-P2D-144445,TRUE
ABC11990,2021-09-06,2021-09-06,2021-09-06,1.3,ABC11990-P2D-244445,TRUE
ABC11990,2021-09-06,2021-09-06,2021-09-06,2.1,ABC11990-P3D-144445,TRUE
ABC11990,2021-09-06,2021-09-06,2021-09-06,1.4,ABC11990-P3D-244445,TRUE
ABC11990,2021-09-14,2021-09-14,2021-09-14,1.4,ABC11990-P2D-144453,TRUE
ABC11990,2021-09-14,2021-09-14,2021-09-14,3.5,ABC11990-P2D-244453,TRUE
ABC11990,2021-09-14,2021-09-14,2021-09-14,3.8,ABC11990-P3D-144453,TRUE
ABC11990,2021-09-14,2021-09-14,2021-09-14,0.9,ABC11990-P3D-244453,TRUE
ABC11990,2021-09-21,2021-09-21,2021-09-21,2.1,ABC11990-P2D-144460,TRUE
ABC11990,2021-09-21,2021-09-21,2021-09-21,1.6,ABC11990-P2D-244460,TRUE
ABC11990,2021-09-21,2021-09-21,2021-09-21,3.2,ABC11990-P3D-144460,TRUE
ABC11990,2021-09-21,2021-09-21,2021-09-21,1,ABC11990-P3D-244460,TRUE
ABC11990,2021-09-30,2021-10-05,2021-09-30,2.7,ABC11990-P2D-144469,TRUE
ABC11990,2021-09-30,2021-10-05,2021-09-30,1,ABC11990-P2D-244469,TRUE
ABC11990,2021-09-30,2021-10-05,2021-09-30,2.3,ABC11990-P3D-144469,TRUE
ABC11990,2021-09-30,2021-10-05,2021-09-30,0.9,ABC11990-P3D-244469,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-01,3.4,ABC11990-P2D-144470,TRUE
ABC11990,2021-10-01,2021-10-01,2021-10-01,3.4,ABC11990-P2D-144470,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-01,3,ABC11990-P2D-244470,TRUE
ABC11990,2021-10-01,2021-10-01,2021-10-01,3,ABC11990-P2D-244470,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-01,3.8,ABC11990-P3D-144470,TRUE
ABC11990,2021-10-01,2021-10-01,2021-10-01,3.8,ABC11990-P3D-144470,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-01,1.7,ABC11990-P3D-244470,TRUE
ABC11990,2021-10-01,2021-10-01,2021-10-01,1.7,ABC11990-P3D-244470,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-04,2.5,ABC11990-P2D-144473,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-04,3.4,ABC11990-P2D-244473,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-04,2.7,ABC11990-P3D-144473,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-04,3,ABC11990-P3D-244473,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-05,2.5,ABC11990-P2D-144474,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-05,1.6,ABC11990-P2D-244474,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-05,1.7,ABC11990-P3D-144474,TRUE
ABC11990,2021-09-30,2021-10-05,2021-10-05,2.3,ABC11990-P3D-244474,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-05,1.8,ABC11990-P2D-144505,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-05,1.6,ABC11990-P2D-244505,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-05,1.5,ABC11990-P3E-144505,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-05,3.4,ABC11990-P3E-244505,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-08,2.8,ABC11990-P2D-144508,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-08,1.8,ABC11990-P2D-244508,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-08,1.4,ABC11990-P3E-144508,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-08,0.9,ABC11990-P3E-244508,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-09,3.1,ABC11990-P2D-144509,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-09,0.9,ABC11990-P2D-244509,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-09,3.3,ABC11990-P3E-144509,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-09,2.3,ABC11990-P3E-244509,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-10,1.9,ABC11990-P2D-144510,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-10,2.7,ABC11990-P2D-244510,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-10,0.8,ABC11990-P3E-144510,TRUE
ABC11990,2021-11-05,2021-11-10,2021-11-10,2.5,ABC11990-P3E-244510,TRUE
ABC11990,2021-11-23,2021-11-23,2021-11-23,3.1,ABC11990-P2D-144523,TRUE
ABC11990,2021-11-23,2021-11-23,2021-11-23,2.6,ABC11990-P2D-244523,TRUE
ABC11990,2021-11-23,2021-11-23,2021-11-23,2,ABC11990-P3E-144523,TRUE
ABC11990,2021-11-23,2021-11-23,2021-11-23,2.8,ABC11990-P3E-244523,TRUE
ABC11990,2021-12-01,2021-12-01,2021-12-01,3.5,ABC11990-P2D-144531,TRUE
ABC11990,2021-12-01,2021-12-01,2021-12-01,1.6,ABC11990-P2D-244531,TRUE
ABC11990,2021-12-01,2021-12-01,2021-12-01,1.1,ABC11990-P3E-144531,TRUE
ABC11990,2021-12-01,2021-12-01,2021-12-01,1.5,ABC11990-P3E-244531,TRUE
ABC11990,2021-12-08,2021-12-08,2021-12-08,1.3,ABC11990-P2D-144538,TRUE
ABC11990,2021-12-08,2021-12-08,2021-12-08,3.7,ABC11990-P2D-244538,TRUE
ABC11990,2021-12-08,2021-12-08,2021-12-08,2.7,ABC11990-P3E-144538,TRUE
ABC11990,2021-12-08,2021-12-08,2021-12-08,3.4,ABC11990-P3E-244538,TRUE
ABC11990,2021-12-13,2021-12-13,2021-12-13,1.2,ABC11990-P2D-144543,TRUE
ABC11990,2021-12-13,2021-12-13,2021-12-13,2.6,ABC11990-P2D-244543,TRUE
ABC11990,2021-12-13,2021-12-13,2021-12-13,1.9,ABC11990-P3E-144543,TRUE
ABC11990,2021-12-13,2021-12-13,2021-12-13,2.7,ABC11990-P3E-244543,TRUE
ABC11990,2021-12-23,2021-12-23,2021-12-23,3.9,ABC11990-P2D-144553,TRUE
ABC11990,2021-12-23,2021-12-23,2021-12-23,1.9,ABC11990-P2D-244553,TRUE
ABC11990,2021-12-23,2021-12-23,2021-12-23,2.1,ABC11990-P3E-144553,TRUE
ABC11990,2021-12-23,2021-12-23,2021-12-23,2.1,ABC11990-P3E-244553,TRUE
ABC11990,2021-12-24,2021-12-24,2021-12-24,2.7,ABC11990-P2D-144554,TRUE
ABC11990,2021-12-24,2021-12-24,2021-12-24,3.8,ABC11990-P2D-244554,TRUE
ABC11990,2021-12-24,2021-12-24,2021-12-24,0.9,ABC11990-P3E-144554,TRUE
ABC11990,2021-12-24,2021-12-24,2021-12-24,2.4,ABC11990-P3E-244554,TRUE
ABC11990,2021-12-27,2021-12-27,2021-12-27,3.2,ABC11990-P2D-144557,TRUE
ABC11990,2021-12-27,2021-12-27,2021-12-27,1.3,ABC11990-P2D-244557,TRUE
ABC11990,2021-12-27,2021-12-27,2021-12-27,1.7,ABC11990-P3E-144557,TRUE
ABC11990,2021-12-27,2021-12-27,2021-12-27,2.7,ABC11990-P3E-244557,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1,ABC21990-P2E-144578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,0.8,ABC21990-P2E-244578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1.1,ABC21990-P4A-144578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1.6,ABC21990-P4A-244578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1.6,ABC21990-P5A-144578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1.6,ABC21990-P5A-244578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,1.2,ABC21990-P6A-144578,TRUE
ABC21990,2022-01-17,2022-01-17,2022-01-17,0.5,ABC21990-P6A-244578,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.7,ABC21990-P2E-144599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.1,ABC21990-P2E-244599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,0.7,ABC21990-P4A-144599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.9,ABC21990-P4A-244599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.1,ABC21990-P5A-144599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.9,ABC21990-P5A-244599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,1.6,ABC21990-P6A-144599,TRUE
ABC21990,2022-02-07,2022-02-07,2022-02-07,0.6,ABC21990-P6A-244599,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,0.7,ABC21990-P2E-144602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,1.9,ABC21990-P2E-244602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,1.9,ABC21990-P4A-144602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,1,ABC21990-P4A-244602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,1.1,ABC21990-P5A-144602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,0.9,ABC21990-P5A-244602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,0.4,ABC21990-P6A-144602,TRUE
ABC21990,2022-02-10,2022-02-10,2022-02-10,0.6,ABC21990-P6A-244602,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,0.9,ABC21990-P2E-144609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,0.9,ABC21990-P2E-244609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,1.8,ABC21990-P4A-144609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,0.7,ABC21990-P4A-244609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,1.9,ABC21990-P5A-144609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,1.5,ABC21990-P5A-244609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,1.1,ABC21990-P6A-144609,TRUE
ABC21990,2022-02-17,2022-02-17,2022-02-17,0.9,ABC21990-P6A-244609,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,1.1,ABC21990-P2E-144615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,0.4,ABC21990-P2E-244615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,0.6,ABC21990-P4A-144615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,0.7,ABC21990-P4A-244615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,1.7,ABC21990-P5A-144615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,0.6,ABC21990-P5A-244615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,0.5,ABC21990-P6A-144615,TRUE
ABC21990,2022-02-23,2022-02-23,2022-02-23,1.8,ABC21990-P6A-244615,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,1.7,ABC21990-P2E-144616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,1.6,ABC21990-P2E-244616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,1.6,ABC21990-P4A-144616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,0.9,ABC21990-P4A-244616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,1.1,ABC21990-P5A-144616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,0.8,ABC21990-P5A-244616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,0.5,ABC21990-P6A-144616,TRUE
ABC21990,2022-02-24,2022-02-24,2022-02-24,1.8,ABC21990-P6A-244616,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,1.8,ABC21990-P2E-144617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,2,ABC21990-P2E-244617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,0.6,ABC21990-P4A-144617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,0.6,ABC21990-P4A-244617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,1.4,ABC21990-P5A-144617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,1.7,ABC21990-P5A-244617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,1.1,ABC21990-P6A-144617,TRUE
ABC21990,2022-02-25,2022-02-25,2022-02-25,0.7,ABC21990-P6A-244617,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,0.9,ABC21990-P2E-144621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,1.5,ABC21990-P2E-244621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,1.6,ABC21990-P4A-144621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,0.5,ABC21990-P4A-244621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,0.6,ABC21990-P5A-144621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,1,ABC21990-P5A-244621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,1.9,ABC21990-P6A-144621,TRUE
ABC21990,2022-03-01,2022-03-01,2022-03-01,1.6,ABC21990-P6A-244621,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,0.8,ABC21990-P2E-144665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.7,ABC21990-P2E-244665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.7,ABC21990-P4A-144665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.7,ABC21990-P4A-244665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.7,ABC21990-P5A-144665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.4,ABC21990-P5A-244665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.6,ABC21990-P6B-144665,TRUE
ABC21990,2022-04-14,2022-04-14,2022-04-14,1.7,ABC21990-P6B-244665,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1,ABC21990-P2E-144686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.5,ABC21990-P2E-244686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.6,ABC21990-P4A-144686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.9,ABC21990-P4A-244686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1,ABC21990-P5A-144686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.1,ABC21990-P5A-244686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.5,ABC21990-P6B-144686,TRUE
ABC21990,2022-05-05,2022-05-05,2022-05-05,1.7,ABC21990-P6B-244686,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,1.7,ABC21990-P2E-144690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,1.9,ABC21990-P2E-244690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,1.4,ABC21990-P4A-144690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,1.1,ABC21990-P4A-244690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,0.6,ABC21990-P5A-144690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,1.7,ABC21990-P5A-244690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,0.9,ABC21990-P6B-144690,TRUE
ABC21990,2022-05-09,2022-05-09,2022-05-09,0.7,ABC21990-P6B-244690,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,0.5,ABC21990-P2E-144714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,1.1,ABC21990-P2E-244714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,1.9,ABC21990-P4A-144714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,0.4,ABC21990-P4A-244714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,0.9,ABC21990-P5B-144714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,0.8,ABC21990-P5B-244714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,1.6,ABC21990-P6C-144714,TRUE
ABC21990,2022-06-02,2022-06-02,2022-06-02,1.8,ABC21990-P6C-244714,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,1.8,ABC21990-P2E-144715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,1.2,ABC21990-P2E-244715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,0.6,ABC21990-P4A-144715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,1,ABC21990-P4A-244715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,2,ABC21990-P5B-144715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,0.5,ABC21990-P5B-244715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,0.7,ABC21990-P6C-144715,TRUE
ABC21990,2022-06-03,2022-06-03,2022-06-03,1,ABC21990-P6C-244715,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,1.5,ABC21990-P2E-144720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,1.5,ABC21990-P2E-244720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,1.7,ABC21990-P4A-144720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,0.8,ABC21990-P4A-244720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,2,ABC21990-P5B-144720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,1.3,ABC21990-P5B-244720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,0.5,ABC21990-P6C-144720,TRUE
ABC21990,2022-06-08,2022-06-08,2022-06-08,1.7,ABC21990-P6C-244720,TRUE
ABC21990,2022-06-27,2022-06-27,2022-06-27,0.7,ABC21990-P2E-144739,TRUE
ABC21990,2022-06-27,2022-06-27,2022-06-27,1.1,ABC21990-P2E-244739,TRUE
ABC21990,2022-06-27,2022-06-27,2022-06-27,0.7,ABC21990-P4A-144739,TRUE
ABC21990,2022-06-27,2022-06-27,2022-06-27,1.2,ABC21990-P4A-244739,TRUE
