LeaveID,EmployeeLeave,TypeLeave,DayLeave,StartDateLeave,EndDateLeave
,ABC21990,Public Holiday,1,"Tuesday, 5 July 2022","Tuesday, 5 July 2022"
,ABC21990,Public Holiday,1,"Thursday, 1 December 2022","Thursday, 1 December 2022"
,ABC21990,Public Holiday,1,"Friday, 2 December 2022","Friday, 2 December 2022"
,ABC21990,Public Holiday,1,"Monday, 5 December 2022","Monday, 5 December 2022"
,ABC21990,Public Holiday,1,"Tuesday, 6 December 2022","Tuesday, 6 December 2022"
,ABC21990,Public Holiday,1,"Wednesday, 7 December 2022","Wednesday, 7 December 2022"
,ABC21990,Public Holiday,1,"Thursday, 8 December 2022","Thursday, 8 December 2022"
,ABC21990,Public Holiday,1,"Friday, 9 December 2022","Friday, 9 December 2022"
,ABC21990,Unpaid,3,"Friday, 14 January 2022","Tuesday, 18 January 2022"
,ABC31990,Annual,1,"Thursday, 7 September 2023","Thursday, 7 September 2023"
,ABC31990,Annual,1,"Friday, 24 November 2023","Friday, 24 November 2023"
,ABC31990,Annual,1,"Wednesday, 20 December 2023","Wednesday, 20 December 2023"
,ABC31990,Annual,1,"Monday, 23 January 2023","Monday, 23 January 2023"
,ABC31990,Annual,1,"Friday, 29 September 2023","Friday, 29 September 2023"
,ABC31990,Annual,1,"Friday, 24 March 2023","Friday, 24 March 2023"
,ABC31990,Annual,1,"Monday, 28 August 2023","Monday, 28 August 2023"
,ABC31990,Annual,1,"Wednesday, 31 May 2023","Wednesday, 31 May 2023"
,ABC31990,Annual,1,"Monday, 7 August 2023","Monday, 7 August 2023"
,ABC31990,Annual,1,"Monday, 19 June 2023","Monday, 19 June 2023"
,ABC31990,Annual,1,"Monday, 22 May 2023","Monday, 22 May 2023"
,ABC31990,Annual,1,"Friday, 31 March 2023","Friday, 31 March 2023"
,ABC31990,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,ABC31990,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,ABC31990,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,ABC31990,Public Holiday,1,"Wednesday, 5 July 2023","Wednesday, 5 July 2023"
,ABC31990,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,ABC31990,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,ABC31990,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,ABC31990,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,ABC31990,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,ABC31990,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,ABC31990,Unpaid,1,"Thursday, 5 January 2023","Thursday, 5 January 2023"
,ABC31990,Unpaid,3,"Tuesday, 2 May 2023","Thursday, 4 May 2023"
,ABC31990,Unpaid,2,"Monday, 13 February 2023","Tuesday, 14 February 2023"
,ABC41990,Annual,1,"Thursday, 2 May 2024","Thursday, 2 May 2024"
,ABC41990,Annual,1,"Friday, 12 April 2024","Friday, 12 April 2024"
,ABC41990,Annual,1,"Thursday, 23 May 2024","Thursday, 23 May 2024"
,ABC41990,Annual,1,"Monday, 15 April 2024","Monday, 15 April 2024"
,ABC41990,Unpaid,2,"Wednesday, 10 April 2024","Thursday, 11 April 2024"
,ABC41990,Unpaid,2,"Tuesday, 14 May 2024","Wednesday, 15 May 2024"
,ACL11990,Annual,1,"Thursday, 28 March 2024","Thursday, 28 March 2024"
,ACL11990,Annual,1,"Tuesday, 5 March 2024","Tuesday, 5 March 2024"
,ACL11990,Annual,1,"Wednesday, 8 May 2024","Wednesday, 8 May 2024"
,ACL11990,Annual,1,"Monday, 27 May 2024","Monday, 27 May 2024"
,ACL11990,Annual,1,"Monday, 15 April 2024","Monday, 15 April 2024"
,ACL11990,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,ACL11990,Unpaid,2,"Monday, 29 January 2024","Tuesday, 30 January 2024"
,ACL11990,Unpaid,1,"Tuesday, 27 February 2024","Tuesday, 27 February 2024"
,ADL11980,Annual,1,"Tuesday, 30 May 2023","Tuesday, 30 May 2023"
,ADL11980,Annual,1,"Tuesday, 3 January 2023","Tuesday, 3 January 2023"
,ADL11980,Annual,1,"Tuesday, 23 May 2023","Tuesday, 23 May 2023"
,ADL11980,Annual,1,"Wednesday, 26 April 2023","Wednesday, 26 April 2023"
,ADL11980,Annual,1,"Thursday, 9 February 2023","Thursday, 9 February 2023"
,ADL11980,Annual,1,"Monday, 30 October 2023","Monday, 30 October 2023"
,ADL11980,Annual,1,"Wednesday, 23 August 2023","Wednesday, 23 August 2023"
,ADL11980,Annual,1,"Thursday, 26 October 2023","Thursday, 26 October 2023"
,ADL11980,Annual,1,"Monday, 13 November 2023","Monday, 13 November 2023"
,ADL11980,Annual,1,"Thursday, 21 September 2023","Thursday, 21 September 2023"
,ADL11980,Sick,5,"Monday, 23 January 2023","Friday, 27 January 2023"
,ADL11980,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,ADL11980,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,ADL11980,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,ADL11980,Public Holiday,1,"Wednesday, 5 July 2023","Wednesday, 5 July 2023"
,ADL11980,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,ADL11980,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,ADL11980,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,ADL11980,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,ADL11980,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,ADL11980,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,ADL11980,Unpaid,2,"Monday, 16 January 2023","Tuesday, 17 January 2023"
,ADL21980,Annual,1,"Wednesday, 21 February 2024","Wednesday, 21 February 2024"
,ADL21980,Annual,1,"Tuesday, 9 January 2024","Tuesday, 9 January 2024"
,ADL21980,Annual,1,"Friday, 19 April 2024","Friday, 19 April 2024"
,ADL21980,Annual,1,"Wednesday, 29 May 2024","Wednesday, 29 May 2024"
,ADL21980,Annual,1,"Thursday, 29 February 2024","Thursday, 29 February 2024"
,ADL21980,Sick,3,"Tuesday, 12 March 2024","Thursday, 14 March 2024"
,ADL21980,Sick,4,"Wednesday, 10 April 2024","Monday, 15 April 2024"
,ADL21980,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,ADL21980,Unpaid,1,"Tuesday, 26 March 2024","Tuesday, 26 March 2024"
,AGI12000,Annual,1,"Monday, 8 April 2024","Monday, 8 April 2024"
,AGI12000,Annual,1,"Wednesday, 21 February 2024","Wednesday, 21 February 2024"
,AGI12000,Annual,1,"Friday, 26 January 2024","Friday, 26 January 2024"
,AGI12000,Sick,2,"Wednesday, 22 May 2024","Thursday, 23 May 2024"
,AGI12000,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AHL11986,Annual,1,"Tuesday, 25 April 2023","Tuesday, 25 April 2023"
,AHL11986,Annual,1,"Thursday, 23 February 2023","Thursday, 23 February 2023"
,AHL11986,Annual,1,"Thursday, 16 November 2023","Thursday, 16 November 2023"
,AHL11986,Annual,1,"Thursday, 2 November 2023","Thursday, 2 November 2023"
,AHL11986,Annual,1,"Thursday, 13 April 2023","Thursday, 13 April 2023"
,AHL11986,Annual,1,"Thursday, 26 October 2023","Thursday, 26 October 2023"
,AHL11986,Annual,1,"Friday, 27 January 2023","Friday, 27 January 2023"
,AHL11986,Annual,1,"Wednesday, 20 December 2023","Wednesday, 20 December 2023"
,AHL11986,Annual,1,"Wednesday, 24 May 2023","Wednesday, 24 May 2023"
,AHL11986,Annual,1,"Monday, 6 November 2023","Monday, 6 November 2023"
,AHL11986,Annual,1,"Friday, 8 September 2023","Friday, 8 September 2023"
,AHL11986,Sick,5,"Tuesday, 9 May 2023","Monday, 15 May 2023"
,AHL11986,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,AHL11986,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,AHL11986,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,AHL11986,Public Holiday,1,"Wednesday, 5 July 2023","Wednesday, 5 July 2023"
,AHL11986,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,AHL11986,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,AHL11986,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,AHL11986,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,AHL11986,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,AHL11986,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,AHL11986,Unpaid,2,"Friday, 28 April 2023","Monday, 1 May 2023"
,AHL11986,Unpaid,3,"Thursday, 28 September 2023","Monday, 2 October 2023"
,AHL21986,Annual,1,"Tuesday, 27 February 2024","Tuesday, 27 February 2024"
,AHL21986,Annual,1,"Thursday, 21 March 2024","Thursday, 21 March 2024"
,AHL21986,Annual,1,"Thursday, 4 January 2024","Thursday, 4 January 2024"
,AHL21986,Sick,5,"Friday, 29 March 2024","Thursday, 4 April 2024"
,AHL21986,Sick,2,"Wednesday, 8 May 2024","Thursday, 9 May 2024"
,AHL21986,Sick,3,"Friday, 19 April 2024","Tuesday, 23 April 2024"
,AHL21986,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AJC11995,Annual,1,"Thursday, 3 August 2023","Thursday, 3 August 2023"
,AJC11995,Annual,1,"Monday, 25 December 2023","Monday, 25 December 2023"
,AJC11995,Annual,1,"Wednesday, 30 August 2023","Wednesday, 30 August 2023"
,AJC11995,Annual,1,"Monday, 27 November 2023","Monday, 27 November 2023"
,AJC11995,Annual,1,"Wednesday, 6 September 2023","Wednesday, 6 September 2023"
,AJC11995,Annual,1,"Monday, 15 May 2023","Monday, 15 May 2023"
,AJC11995,Annual,1,"Monday, 13 February 2023","Monday, 13 February 2023"
,AJC11995,Annual,1,"Thursday, 2 November 2023","Thursday, 2 November 2023"
,AJC11995,Annual,1,"Wednesday, 22 February 2023","Wednesday, 22 February 2023"
,AJC11995,Annual,1,"Wednesday, 4 October 2023","Wednesday, 4 October 2023"
,AJC11995,Annual,1,"Wednesday, 27 December 2023","Wednesday, 27 December 2023"
,AJC11995,Annual,1,"Thursday, 28 September 2023","Thursday, 28 September 2023"
,AJC11995,Sick,4,"Thursday, 26 October 2023","Tuesday, 31 October 2023"
,AJC11995,Sick,3,"Wednesday, 14 June 2023","Friday, 16 June 2023"
,AJC11995,Sick,3,"Wednesday, 19 April 2023","Friday, 21 April 2023"
,AJC11995,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,AJC11995,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,AJC11995,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,AJC11995,Public Holiday,1,"Wednesday, 5 July 2023","Wednesday, 5 July 2023"
,AJC11995,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,AJC11995,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,AJC11995,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,AJC11995,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,AJC11995,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,AJC11995,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,AJC11995,Unpaid,3,"Friday, 3 November 2023","Tuesday, 7 November 2023"
,AJC11995,Unpaid,1,"Monday, 6 March 2023","Monday, 6 March 2023"
,AJC11995,Unpaid,2,"Monday, 3 April 2023","Tuesday, 4 April 2023"
,AJC21995,Annual,1,"Monday, 29 January 2024","Monday, 29 January 2024"
,AJC21995,Annual,1,"Tuesday, 27 February 2024","Tuesday, 27 February 2024"
,AJC21995,Annual,1,"Friday, 8 March 2024","Friday, 8 March 2024"
,AJC21995,Annual,1,"Tuesday, 9 April 2024","Tuesday, 9 April 2024"
,AJC21995,Annual,1,"Wednesday, 10 January 2024","Wednesday, 10 January 2024"
,AJC21995,Sick,5,"Tuesday, 30 January 2024","Monday, 5 February 2024"
,AJC21995,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AJC21995,Unpaid,2,"Wednesday, 8 May 2024","Thursday, 9 May 2024"
,AJG11998,Annual,1,"Thursday, 31 August 2023","Thursday, 31 August 2023"
,AJG11998,Annual,1,"Monday, 20 February 2023","Monday, 20 February 2023"
,AJG11998,Annual,1,"Wednesday, 8 March 2023","Wednesday, 8 March 2023"
,AJG11998,Annual,1,"Friday, 8 September 2023","Friday, 8 September 2023"
,AJG11998,Annual,1,"Tuesday, 21 March 2023","Tuesday, 21 March 2023"
,AJG11998,Annual,1,"Tuesday, 23 May 2023","Tuesday, 23 May 2023"
,AJG11998,Annual,1,"Monday, 19 June 2023","Monday, 19 June 2023"
,AJG11998,Annual,1,"Tuesday, 10 October 2023","Tuesday, 10 October 2023"
,AJG11998,Annual,1,"Thursday, 8 June 2023","Thursday, 8 June 2023"
,AJG11998,Annual,1,"Monday, 27 March 2023","Monday, 27 March 2023"
,AJG11998,Sick,2,"Tuesday, 27 June 2023","Wednesday, 28 June 2023"
,AJG11998,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,AJG11998,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,AJG11998,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,AJG11998,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,AJG11998,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,AJG11998,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,AJG11998,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,AJG11998,Unpaid,3,"Friday, 10 March 2023","Tuesday, 14 March 2023"
,AJG11998,Unpaid,1,"Wednesday, 15 March 2023","Wednesday, 15 March 2023"
,AJG11998,Unpaid,2,"Thursday, 21 December 2023","Friday, 22 December 2023"
,AJG11998,Unpaid,1,"Monday, 31 July 2023","Monday, 31 July 2023"
,AJG21998,Annual,1,"Wednesday, 14 February 2024","Wednesday, 14 February 2024"
,AJG21998,Annual,1,"Thursday, 11 January 2024","Thursday, 11 January 2024"
,AJG21998,Annual,1,"Monday, 18 March 2024","Monday, 18 March 2024"
,AJG21998,Annual,1,"Thursday, 8 February 2024","Thursday, 8 February 2024"
,AJG21998,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AMC11997,Annual,1,"Wednesday, 17 April 2024","Wednesday, 17 April 2024"
,AMC11997,Annual,1,"Wednesday, 8 May 2024","Wednesday, 8 May 2024"
,AMC11997,Annual,1,"Thursday, 11 April 2024","Thursday, 11 April 2024"
,AMC11997,Annual,1,"Thursday, 14 March 2024","Thursday, 14 March 2024"
,AMC11997,Sick,2,"Wednesday, 24 January 2024","Thursday, 25 January 2024"
,AMC11997,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,APB11994,Annual,1,"Thursday, 3 March 2022","Thursday, 3 March 2022"
,APB11994,Annual,1,"Thursday, 17 March 2022","Thursday, 17 March 2022"
,APB11994,Annual,1,"Monday, 10 October 2022","Monday, 10 October 2022"
,APB11994,Annual,1,"Thursday, 1 September 2022","Thursday, 1 September 2022"
,APB11994,Annual,1,"Friday, 10 June 2022","Friday, 10 June 2022"
,APB11994,Annual,1,"Thursday, 6 October 2022","Thursday, 6 October 2022"
,APB11994,Annual,1,"Tuesday, 25 January 2022","Tuesday, 25 January 2022"
,APB11994,Annual,1,"Friday, 4 February 2022","Friday, 4 February 2022"
,APB11994,Annual,1,"Monday, 1 August 2022","Monday, 1 August 2022"
,APB11994,Annual,1,"Wednesday, 16 November 2022","Wednesday, 16 November 2022"
,APB11994,Annual,1,"Friday, 6 May 2022","Friday, 6 May 2022"
,APB11994,Annual,1,"Friday, 3 June 2022","Friday, 3 June 2022"
,APB11994,Public Holiday,1,"Thursday, 17 February 2022","Thursday, 17 February 2022"
,APB11994,Public Holiday,1,"Friday, 1 July 2022","Friday, 1 July 2022"
,APB11994,Public Holiday,1,"Monday, 4 July 2022","Monday, 4 July 2022"
,APB11994,Public Holiday,1,"Tuesday, 5 July 2022","Tuesday, 5 July 2022"
,APB11994,Public Holiday,1,"Thursday, 1 December 2022","Thursday, 1 December 2022"
,APB11994,Public Holiday,1,"Friday, 2 December 2022","Friday, 2 December 2022"
,APB11994,Public Holiday,1,"Monday, 5 December 2022","Monday, 5 December 2022"
,APB11994,Public Holiday,1,"Tuesday, 6 December 2022","Tuesday, 6 December 2022"
,APB11994,Public Holiday,1,"Wednesday, 7 December 2022","Wednesday, 7 December 2022"
,APB11994,Unpaid,2,"Monday, 15 August 2022","Tuesday, 16 August 2022"
,APB21994,Annual,1,"Thursday, 1 June 2023","Thursday, 1 June 2023"
,APB21994,Annual,1,"Wednesday, 19 April 2023","Wednesday, 19 April 2023"
,APB21994,Annual,1,"Monday, 27 November 2023","Monday, 27 November 2023"
,APB21994,Annual,1,"Monday, 6 November 2023","Monday, 6 November 2023"
,APB21994,Annual,1,"Wednesday, 25 January 2023","Wednesday, 25 January 2023"
,APB21994,Annual,1,"Monday, 10 July 2023","Monday, 10 July 2023"
,APB21994,Annual,1,"Tuesday, 29 August 2023","Tuesday, 29 August 2023"
,APB21994,Annual,1,"Monday, 13 November 2023","Monday, 13 November 2023"
,APB21994,Annual,1,"Thursday, 6 April 2023","Thursday, 6 April 2023"
,APB21994,Annual,1,"Thursday, 9 February 2023","Thursday, 9 February 2023"
,APB21994,Annual,1,"Thursday, 18 May 2023","Thursday, 18 May 2023"
,APB21994,Sick,3,"Friday, 12 May 2023","Tuesday, 16 May 2023"
,APB21994,Sick,2,"Thursday, 2 March 2023","Friday, 3 March 2023"
,APB21994,Sick,5,"Tuesday, 19 December 2023","Monday, 25 December 2023"
,APB21994,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,APB21994,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,APB21994,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,APB21994,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,APB21994,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,APB21994,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,APB21994,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,APB21994,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,APB21994,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,APB21994,Unpaid,3,"Wednesday, 1 November 2023","Friday, 3 November 2023"
,APB31994,Annual,1,"Tuesday, 14 May 2024","Tuesday, 14 May 2024"
,APB31994,Annual,1,"Friday, 5 April 2024","Friday, 5 April 2024"
,APB31994,Annual,1,"Wednesday, 20 March 2024","Wednesday, 20 March 2024"
,APB31994,Annual,1,"Tuesday, 19 March 2024","Tuesday, 19 March 2024"
,APB31994,Annual,1,"Thursday, 29 February 2024","Thursday, 29 February 2024"
,APB31994,Sick,5,"Monday, 15 January 2024","Friday, 19 January 2024"
,APB31994,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,APB31994,Unpaid,2,"Monday, 1 January 2024","Tuesday, 2 January 2024"
,APB31994,Unpaid,2,"Tuesday, 9 January 2024","Wednesday, 10 January 2024"
,APC11993,Annual,1,"Wednesday, 29 May 2024","Wednesday, 29 May 2024"
,APC11993,Annual,1,"Monday, 11 March 2024","Monday, 11 March 2024"
,APC11993,Annual,1,"Wednesday, 22 May 2024","Wednesday, 22 May 2024"
,APC11993,Annual,1,"Tuesday, 13 February 2024","Tuesday, 13 February 2024"
,APC11993,Annual,1,"Tuesday, 27 February 2024","Tuesday, 27 February 2024"
,APC11993,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,APC11993,Unpaid,2,"Tuesday, 23 April 2024","Wednesday, 24 April 2024"
,APC11993,Unpaid,2,"Friday, 12 April 2024","Monday, 15 April 2024"
,AWA11985,Annual,1,"Monday, 12 February 2024","Monday, 12 February 2024"
,AWA11985,Annual,1,"Thursday, 30 May 2024","Thursday, 30 May 2024"
,AWA11985,Annual,1,"Thursday, 16 May 2024","Thursday, 16 May 2024"
,AWA11985,Annual,1,"Monday, 29 January 2024","Monday, 29 January 2024"
,AWA11985,Annual,1,"Wednesday, 3 April 2024","Wednesday, 3 April 2024"
,AWA11985,Sick,2,"Monday, 11 March 2024","Tuesday, 12 March 2024"
,AWA11985,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AWA11992,Annual,1,"Friday, 8 September 2023","Friday, 8 September 2023"
,AWA11992,Annual,1,"Thursday, 14 December 2023","Thursday, 14 December 2023"
,AWA11992,Annual,1,"Wednesday, 26 April 2023","Wednesday, 26 April 2023"
,AWA11992,Annual,1,"Monday, 27 February 2023","Monday, 27 February 2023"
,AWA11992,Annual,1,"Thursday, 1 June 2023","Thursday, 1 June 2023"
,AWA11992,Annual,1,"Friday, 4 August 2023","Friday, 4 August 2023"
,AWA11992,Annual,1,"Tuesday, 26 December 2023","Tuesday, 26 December 2023"
,AWA11992,Annual,1,"Tuesday, 21 November 2023","Tuesday, 21 November 2023"
,AWA11992,Annual,1,"Wednesday, 13 September 2023","Wednesday, 13 September 2023"
,AWA11992,Sick,2,"Friday, 25 August 2023","Monday, 28 August 2023"
,AWA11992,Sick,4,"Wednesday, 18 October 2023","Monday, 23 October 2023"
,AWA11992,Sick,3,"Thursday, 13 April 2023","Monday, 17 April 2023"
,AWA11992,Public Holiday,1,"Friday, 24 February 2023","Friday, 24 February 2023"
,AWA11992,Public Holiday,1,"Monday, 3 July 2023","Monday, 3 July 2023"
,AWA11992,Public Holiday,1,"Tuesday, 4 July 2023","Tuesday, 4 July 2023"
,AWA11992,Public Holiday,1,"Wednesday, 5 July 2023","Wednesday, 5 July 2023"
,AWA11992,Public Holiday,1,"Friday, 1 December 2023","Friday, 1 December 2023"
,AWA11992,Public Holiday,1,"Monday, 4 December 2023","Monday, 4 December 2023"
,AWA11992,Public Holiday,1,"Tuesday, 5 December 2023","Tuesday, 5 December 2023"
,AWA11992,Public Holiday,1,"Wednesday, 6 December 2023","Wednesday, 6 December 2023"
,AWA11992,Public Holiday,1,"Thursday, 7 December 2023","Thursday, 7 December 2023"
,AWA11992,Public Holiday,1,"Friday, 8 December 2023","Friday, 8 December 2023"
,AWA21992,Annual,1,"Tuesday, 30 January 2024","Tuesday, 30 January 2024"
,AWA21992,Annual,1,"Wednesday, 28 February 2024","Wednesday, 28 February 2024"
,AWA21992,Annual,1,"Tuesday, 26 March 2024","Tuesday, 26 March 2024"
,AWA21992,Annual,1,"Thursday, 22 February 2024","Thursday, 22 February 2024"
,AWA21992,Annual,1,"Tuesday, 6 February 2024","Tuesday, 6 February 2024"
,AWA21992,Public Holiday,1,"Monday, 26 February 2024","Monday, 26 February 2024"
,AWA21992,Unpaid,3,"Friday, 29 March 2024","Tuesday, 2 April 2024"
,AWA21992,Unpaid,3,"Thursday, 11 April 2024","Monday, 15 April 2024"
